OBJECTID,LOCID,SITENO,FULLNAME,FAA_ST,UNIQUE_ID,RWY_ID,RWY_LEN,RWY_WITH,RWY_SFC_TY,RWY_SFC_TR,PAV_CLASS_,RWY_LIGHTS,STFIPS,ST_POSTAL,VERSION,SHAPE.LEN
1,ND02,17245.8*A,RICKETYBACK FIELD,ND,17245.8*A  ND17/35,17/35, 2600, 100,TURF, , ,LOW,38,ND,09,0.00745355917964465
2,1A2,17249.1*A,ARTHUR,ND,17249.1*A  ND17/35,17/35, 3100,  85,TURF-F, , ,NSTD,38,ND,09,0.008499999
3,ASY,17253.*A,ASHLEY MUNI,ND,17253.*A   ND08/26,08/26, 2825, 150,TURF-F, , , ,38,ND,09,0.011122223
4,ASY,17253.*A,ASHLEY MUNI,ND,17253.*A   ND14/32,14/32, 4300,  60,ASPH-G, , ,LOW,38,ND,09,0.0131798138307166
5,20U,17256.1*A,BEACH,ND,17256.1*A  ND12/30,12/30, 4200,  60,ASPH-G,AFSC, ,MED,38,ND,09,0.0145496797891242
6,95D,17261.*A,BEULAH,ND,17261.*A   ND10/28,10/28, 4000,  60,ASPH-G, , ,NSTD,38,ND,09,0.0157333749983762
7,BIS,17265.*A,BISMARCK MUNI,ND,17265.*A   ND03/21,03/21, 6600, 100,ASPH-G,GRVD, ,HIGH,38,ND,09,0.0217386232850448
8,BIS,17265.*A,BISMARCK MUNI,ND,17265.*A   ND13/31,13/31, 8794, 150,ASPH-G,GRVD, ,HIGH,38,ND,09,0.0296135522791163
9,D09,17268.1*A,BOTTINEAU MUNI,ND,17268.1*A  ND03/21,03/21, 2000, 150,TURF-G, , , ,38,ND,09,0.00642814789756964
10,D09,17268.1*A,BOTTINEAU MUNI,ND,17268.1*A  ND13/31,13/31, 3700,  60,ASPH-F,AFSC, ,LOW,38,ND,09,0.0130101112258985
11,5B4,17270.1*A,BOWBELLS MUNI,ND,17270.1*A  ND08/26,08/26, 2900, 200,TURF-G, , ,NSTD,38,ND,09,0.0120182731396256
12,BPP,17271.*A,BOWMAN MUNI,ND,17271.*A   ND11/29,11/29, 4800,  75,ASPH-G,AFSC, ,MED,38,ND,09,0.0172501564395091
13,9D7,17279.1*A,CANDO MUNI,ND,17279.1*A  ND16/34,16/34, 3500,  60,ASPH-G, , ,MED,38,ND,09,0.00994166844286134
14,46D,17280.*A,CARRINGTON MUNI,ND,17280.*A   ND13/31,13/31, 4200,  75,ASPH-G, , ,MED,38,ND,09,0.0142291676096744
15,5N8,17284.1*A,CASSELTON ROBERT MILLER RGNL,ND,17284.1*A  ND13/31,13/31, 3900,  75,CONC-G, , ,MED,38,ND,09,0.013439930656857
16,2C8,17285.*A,CAVALIER MUNI,ND,17285.*A   ND16/34,16/34, 3300,  60,ASPH-G, , ,MED,38,ND,09,0.00938890351774104
17,D49,17287.2*A,COLUMBUS MUNI,ND,17287.2*A  ND07/25,07/25, 2560, 100,TURF-F, , , ,38,ND,09,0.0102833216291432
18,S32,17288.*A,COOPERSTOWN MUNI,ND,17288.*A   ND13/31,13/31, 3500,  60,ASPH-F, , ,MED,38,ND,09,0.012105301121764
19,D50,17292.*A,CROSBY MUNI,ND,17292.*A   ND03/21,03/21, 2700, 100,TURF-F, , , ,38,ND,09,0.00939955573292871
20,D50,17292.*A,CROSBY MUNI,ND,17292.*A   ND12/30,12/30, 3800,  60,ASPH-F,AFSC, ,MED,38,ND,09,0.0133852771281883
